problem,problem_id,dsl,full_dsl,step,correct,output,id,task_id_mc_larc,description_output,ChatGPT Response1,ChatGPT Response2,ChatGPT Response3,ChatGPT Response4
54,36fdfd69.json,"['diagonal_line', 'pixel_color', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'pixel_color', 'complete']","['diagonal_line(self.temp_state, [(9, 5), (12, 8)], 4)', 'pixel_color([(5, 7)], 4)', 'diagonal_line(self.temp_state, [(0, 1), (3, 4)], 4)', 'diagonal_line(self.temp_state, [(3, 3), (0, 6)], 4)', 'diagonal_line(self.temp_state, [(16, 14), (13, 11)], 4)', 'diagonal_line(self.temp_state, [(12, 12), (15, 15)], 4)', 'diagonal_line(self.temp_state, [(13, 14), (16, 17)], 4)', 'pixel_color([(13, 16)], 4)', 'complete(self.temp_state)']",9,TRUE,"[[0, 0, 0, 9, 9, 9, 0, 0, 9, 9, 0, 0, 0, 0, 0, 0, 9, 0], [9, 2, 4, 2, 2, 4, 0, 0, 0, 9, 0, 0, 9, 0, 0, 0, 0, 0], [0, 2, 2, 4, 4, 2, 0, 0, 9, 9, 9, 0, 0, 9, 0, 0, 9, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 9, 9, 9, 0, 9, 0], [0, 9, 9, 0, 0, 0, 9, 0, 9, 9, 0, 9, 0, 0, 9, 9, 9, 9], [9, 9, 9, 9, 0, 9, 2, 4, 2, 2, 9, 0, 0, 9, 0, 0, 0, 0], [0, 0, 0, 0, 0, 9, 2, 2, 2, 2, 9, 0, 9, 9, 0, 0, 0, 0], [9, 0, 9, 9, 0, 9, 0, 0, 9, 0, 9, 9, 0, 9, 9, 9, 0, 9], [0, 0, 0, 9, 0, 0, 0, 9, 9, 9, 9, 9, 0, 9, 0, 0, 0, 0], [9, 9, 0, 9, 0, 9, 0, 9, 9, 0, 0, 9, 9, 0, 0, 0, 0, 9], [0, 9, 9, 0, 9, 0, 4, 2, 9, 0, 0, 9, 0, 0, 9, 9, 9, 9], [0, 9, 9, 0, 0, 9, 2, 4, 9, 9, 0, 0, 0, 9, 9, 9, 0, 9], [9, 0, 9, 9, 0, 9, 9, 9, 0, 0, 9, 0, 0, 0, 9, 9, 9, 0], [9, 9, 9, 9, 9, 9, 0, 0, 0, 0, 9, 2, 2, 4, 2, 2, 4, 0], [0, 9, 9, 9, 9, 9, 9, 0, 9, 0, 0, 2, 4, 2, 4, 4, 2, 9], [0, 9, 0, 9, 0, 0, 9, 9, 0, 9, 0, 2, 2, 4, 2, 2, 4, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 9, 9, 0]]",36fdfd69,76,"To make the output, you have to...assume the red grid as a rectangle or square , now complete the structure by change the overlap color into yellow, leave all others grid same as input.","To make the output, you have to...assume the red grid as a circle, now complete the structure by changing the overlap color into blue, leave all other grids the same as input.","To make the output, you have to...assume the green grid as a rectangle or square, now complete the structure by changing the overlap color into yellow, leave all others grid same as input.","To make the output, you have to...assume the red grid as a rectangle or square, now complete the structure by changing the overlap color into green, leave all others grid same as input. ","To make the output, you have to...assume the red grid as a rectangle or square, now complete the structure by changing the overlap color into yellow, change all other grids different from input."
55,3906de3d.json,"['vertical_line', 'vertical_line', 'pixel_color', 'obj_color', 'obj_color', 'obj_color', 'vertical_line', 'vertical_line', 'complete']","['vertical_line(self.temp_state, [(0, 2), (4, 2)], 2)', 'vertical_line(self.temp_state, [(1, 4), (4, 4)], 2)', 'pixel_color([(2, 6)], 2)', 'obj_color(self.temp_state, object3, 0)', 'obj_color(self.temp_state, object2, 0)', 'obj_color(self.temp_state, object4, 0)', 'vertical_line(self.temp_state, [(2, 5), (7, 5)], 2)', 'vertical_line(self.temp_state, [(0, 8), (7, 8)], 2)', 'complete(self.temp_state)']",9,TRUE,"[[0, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 1, 2, 1, 1, 1, 1, 1, 2, 1], [0, 1, 2, 1, 2, 1, 2, 1, 2, 1], [0, 1, 2, 1, 2, 2, 0, 1, 2, 1], [0, 0, 0, 1, 0, 2, 0, 0, 2, 1], [0, 0, 0, 0, 0, 2, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2, 0, 0, 2, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",3906de3d,77,"To make the output, you have to...imagine the blue is a vacuum and sucks the red up into the open spaces. Move all red straight up.","To make the output, you have to...imagine the blue is a vacuum and pushes the red down into the open spaces. Move all red straight down.","To make the output, you have to...imagine the green is a vacuum and sucks the yellow up into the open spaces. Move all yellow straight up.","To make the output, you have to...imagine the red is a vacuum and sucks the blue up into the open spaces. Move all blue straight up.","To make the output, you have to...imagine the blue is a magnet and pulls the red up into the open spaces. Move all red straight up."
57,3aa6fb7a.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['pixel_color([(5, 0)], 1)', 'pixel_color([(3, 4)], 1)', 'pixel_color([(2, 1)], 1)', 'pixel_color([(1, 5)], 1)', 'complete(self.temp_state)']",5,TRUE,"[[0, 0, 0, 0, 0, 8, 8], [8, 8, 0, 0, 0, 1, 8], [8, 1, 0, 0, 0, 0, 0], [0, 0, 0, 8, 1, 0, 0], [0, 0, 0, 8, 8, 0, 0], [1, 8, 0, 0, 0, 0, 0], [8, 8, 0, 0, 0, 0, 0]]",3aa6fb7a,80,"To make the output, you have to...fill in the missing corners with a blue square.","To make the output, you have to...fill in the missing corners with a red square.","To make the output, you have to...fill in the missing edges with a blue square.","To make the output, you have to...fill in the missing sides with a blue square.","To make the output, you have to...fill in the missing corners with a green square."
59,3bd67248.json,"['diagonal_line', 'horizontal_line', 'pixel_color', 'pixel_color', 'complete']","['diagonal_line(self.temp_state, [(9, 0), (0, 9)], 2)', 'horizontal_line(self.temp_state, [(9, 9), (9, 0)], 4)', 'pixel_color([(9, 9)], 4)', 'pixel_color([(0, 9)], 2)', 'complete(self.temp_state)']",5,TRUE,"[[3, 0, 0, 0, 0, 0, 0, 0, 0, 2], [3, 0, 0, 0, 0, 0, 0, 0, 2, 0], [3, 0, 0, 0, 0, 0, 0, 2, 0, 0], [3, 0, 0, 0, 0, 0, 2, 0, 0, 0], [3, 0, 0, 0, 0, 2, 0, 0, 0, 0], [3, 0, 0, 0, 2, 0, 0, 0, 0, 0], [3, 0, 0, 2, 0, 0, 0, 0, 0, 0], [3, 0, 2, 0, 0, 0, 0, 0, 0, 0], [3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [3, 4, 4, 4, 4, 4, 4, 4, 4, 4]]",3bd67248,83,"To make the output, you have to...make a yellow line perpendicular to the line located at the left half and then you draw a diagonal red line starting at the intersecting between both lines.","To make the output, you have to...draw a diagonal yellow line intersecting with the line on the right half, then draw a perpendicular red line starting at their intersection.","To make the output, you have to...make a red line parallel to the line located at the lower half and then you draw a vertical green line starting at the intersecting between both lines.","To make the output, you have to...make a horizontal blue line intersecting at the top half of the grid, then you draw a diagonal brown line starting from the intersection.","To make the output, you have to...draw a horizontal pink line on the right half, then start a diagonal green line at the point where both lines intersect."
62,3c9b0459.json,"['rotate_right', 'rotate_right', 'complete']","['rotate_right_state(temp_state)', 'rotate_right_state(temp_state)', 'complete(self.temp_state)']",3,TRUE,"[[7, 6, 4], [4, 6, 6], [4, 4, 6]]",3c9b0459,86,"To make the output, you have to...rotate the grid 180 degrees clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated twice to the right (180 degrees).","To make the output, you have to...rotate the grid 90 degrees clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated once to the right (90 degrees).","To make the output, you have to...rotate the grid 180 degrees counter-clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated twice to the left (180 degrees).","To make the output, you have to...rotate the grid 270 degrees clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated thrice to the right (270 degrees).","To make the output, you have to...rotate the grid 360 degrees clockwise. That's it. Just fill in the grid with the original colors as if the grid rotated four times to the right (360 degrees)."
63,3e980e27.json,"['horizontal_line', 'diagonal_line', 'horizontal_line', 'diagonal_line', 'horizontal_line', 'horizontal_line', 'diagonal_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(9, 5), (9, 9)], 8)', 'diagonal_line(self.temp_state, [(9, 9), (12, 6)], 8)', 'horizontal_line(self.temp_state, [(0, 3), (0, 7)], 8)', 'diagonal_line(self.temp_state, [(0, 7), (3, 4)], 8)', 'horizontal_line(self.temp_state, [(2, 8), (2, 11)], 1)', 'horizontal_line(self.temp_state, [(10, 2), (10, 5)], 1)', 'diagonal_line(self.temp_state, [(10, 5), (7, 2)], 1)', 'pixel_color([(1, 10)], 1)', 'pixel_color([(0, 9)], 1)', 'complete(self.temp_state)']",10,TRUE,"[[0, 0, 0, 0, 8, 8, 8, 0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 3, 8, 0, 0, 2, 1, 0, 0], [0, 1, 2, 0, 0, 8, 0, 0, 0, 1, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 1, 0, 8, 8, 8, 0, 0, 0, 0], [0, 0, 0, 1, 1, 0, 0, 3, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",3e980e27,88,"To make the output, you have to...copy the placement and color of the pixels surrounding the red or green pixels that are not alone to the pixels that are alone. If the pixel is green the placement and color of the surrounding pixels should be the same as the surrounded green pixel. This should be applied to all solo green pixels. The same should be done with the red pixels, but the placement of the surrounding pixels should be mirrored horizontally.","To make the output, you have to...keep the placement and color of the pixels surrounding the yellow or blue pixels that are not alone to the pixels that are alone. If the pixel is yellow the placement and color of the surrounding pixels should be the same as the surrounded yellow pixel. This should be applied to all solo yellow pixels. The same should be done with the blue pixels, but the placement of the surrounding pixels should be flipped vertically.","To make the output, you have to...copy the relocation and color of the pixels around the pink or black pixels that are not alone to the pixels that are alone. If the pixel is pink the relocation and color of the around pixels should be the same as the around pink pixel. This should be applied to all solo pink pixels. The same should be done with the black pixels, but the relocation of the around pixels should be mirrored diagonally.","To make the output, you have to...maintain the position and color of the pixels surrounding the gray or brown pixels that are not alone to the pixels that are alone. If the pixel is gray the position and color of the surrounding pixels should be the same as the surrounded gray pixel. This should be applied to all solo brown pixels. The same should be done with the brown pixels, but the position of the surrounding pixels should be switched horizontally.","To make the output, you have to...mirror the placement and color of the pixels surrounding the light blue or black pixels that are not alone to the pixels that are alone. If the pixel is light blue the placement and color of the surrounding pixels should be the same as the surrounded light blue pixel. This should be applied to all solo black pixels. The same should be done with the black pixels, but the placement of the surrounding pixels should be rotated vertically."
64,3eda0437.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(0, 0), (0, 4)], 6)', 'horizontal_line(self.temp_state, [(1, 0), (1, 4)], 6)', 'horizontal_line(self.temp_state, [(2, 0), (2, 4)], 6)', 'complete(self.temp_state)']",4,TRUE,"[[0, 6, 6, 6, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0], [1, 6, 6, 6, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0], [0, 6, 6, 6, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]]",3eda0437,89,"To make the output, you have to...examine the grid, find the black squares that will allow for a symmetrical shape of either a square or rectangle, and color those squares pink.","To make the output, you have to...examine the grid, find the black squares that will allow for an asymmetric shape of either a square or rectangle, and color those squares pink.","To make the output, you have to...examine the grid, find the black squares that will allow for a symmetrical shape of either a circle or ellipse, and color those squares pink.","To make the output, you have to...examine the grid, find the black squares that will allow for a symmetrical shape of either a square or rectangle, and color those squares light blue.","To make the output, you have to...examine the grid, find the green squares that will allow for a symmetrical shape of either a square or rectangle, and color those squares pink."
65,40853293.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'complete']","['horizontal_line(self.temp_state, [(3, 1), (3, 16)], 2)', 'horizontal_line(self.temp_state, [(7, 7), (7, 13)], 7)', 'horizontal_line(self.temp_state, [(14, 8), (14, 14)], 8)', 'vertical_line(self.temp_state, [(9, 9), (2, 9)], 5)', 'vertical_line(self.temp_state, [(1, 3), (18, 3)], 3)', 'complete(self.temp_state)']",6,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 2, 2, 3, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 7, 7, 5, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",40853293,91,"To make the output, you have to...connect similar colors with that color. where they overlap you should use the vertical color.","To make the output, you have to...divide dissimilar colors with that color. where they overlap you should use the horizontal color.","To make the output, you have to...connect similar colors with the opposite color. where they touch you should use the horizontal color.","To make the output, you have to...separate similar colors with a different color. where they overlap you should use the horizontal color.","To make the output, you have to...join similar colors with that color. where they don't overlap you should use the vertical color."
69,42a50994.json,"['vertical_line', 'diagonal_line', 'vertical_line', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(3, 0), (7, 0)], 0)', 'diagonal_line(self.temp_state, [(10, 0), (4, 6)], 0)', 'vertical_line(self.temp_state, [(3, 13), (10, 13)], 0)', 'pixel_color([(0, 4)], 0)', 'pixel_color([(3, 4)], 0)', 'pixel_color([(6, 11)], 0)', 'pixel_color([(7, 8)], 0)', 'pixel_color([(10, 10)], 0)', 'pixel_color([(14, 8)], 0)', 'complete(self.temp_state)']",10,TRUE,"[[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3], [3, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 3], [3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 3, 3, 0, 0], [0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 3, 3, 3, 0, 3, 3, 0, 0, 0, 0, 0], [3, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0], [3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], [3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3]]",42a50994,96,"To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...copy the input grid, identify which pixels are not connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...identify the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...copy the input grid, identify which pixels are separated or not touching any other and change background colors of single pixels to the background color or black.","To make the output, you have to...ignore the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to grey or yellow."
71,444801d8.json,"['horizontal_line', 'diagonal_line', 'diagonal_line', 'horizontal_line', 'pixel_color', 'horizontal_line', 'diagonal_line', 'diagonal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(3, 0), (3, 4)], 4)', 'diagonal_line(self.temp_state, [(3, 4), (0, 1)], 4)', 'diagonal_line(self.temp_state, [(3, 0), (0, 3)], 4)', 'horizontal_line(self.temp_state, [(0, 0), (0, 5)], 4)', 'pixel_color([(0, 0)], 4)', 'horizontal_line(self.temp_state, [(8, 4), (8, 8)], 7)', 'diagonal_line(self.temp_state, [(8, 8), (4, 4)], 7)', 'diagonal_line(self.temp_state, [(8, 4), (4, 8)], 7)', 'horizontal_line(self.temp_state, [(5, 3), (5, 9)], 7)', 'complete(self.temp_state)']",10,TRUE,"[[4, 4, 4, 4, 4, 0, 0, 0, 0, 0], [1, 1, 4, 1, 1, 0, 0, 0, 0, 0], [1, 4, 4, 4, 1, 0, 0, 0, 0, 0], [1, 4, 4, 4, 1, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 7, 7, 7, 7, 7, 0], [0, 0, 0, 0, 1, 1, 7, 1, 1, 0], [0, 0, 0, 0, 1, 7, 7, 7, 1, 0], [0, 0, 0, 0, 1, 7, 7, 7, 1, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 0]]",444801d8,98,"To make the output, you have to...fill the inside of the blue square border with a single colored pixel. Then, you also fill the pixels where the blue square border is open, and draw a single line on top of the border's upper edge.","To make the output, you have to...leave the inside of the blue square border empty. Then, you also fill the pixels where the blue square border is closed, and draw a single line under the border's lower edge.","To make the output, you have to...fill the outside of the blue rectangle border with a multi-colored pixel. Then, you also empty the pixels where the blue rectangle border is open, and draw a double line on top of the border's upper edge.","To make the output, you have to...fill the inside of the red round border with a single colored pixel. Then, you also fill the pixels where the red round border is open, and draw a single line on top of the border's upper edge.","To make the output, you have to...fill the inside of the yellow hexagon border with a single colored pixel. Then, draw a single line on bottom of the border's lower edge."
73,44d8ac46.json,"['vertical_line', 'vertical_line', 'vertical_line', 'complete']","['vertical_line(self.temp_state, [(1, 1), (5, 1)], 2)', 'vertical_line(self.temp_state, [(1, 2), (5, 2)], 2)', 'vertical_line(self.temp_state, [(1, 3), (5, 3)], 2)', 'complete(self.temp_state)']",4,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [5, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 0], [5, 2, 2, 2, 5, 0, 0, 5, 5, 0, 5, 0], [5, 2, 2, 2, 5, 0, 0, 5, 0, 0, 5, 0], [5, 2, 2, 2, 5, 0, 0, 5, 0, 0, 5, 0], [5, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0], [0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0], [0, 0, 5, 5, 5, 5, 5, 5, 0, 0, 0, 0]]",44d8ac46,101,"To make the output, you have to...fill the black area within the gray with red if it is a square; otherwise, leave it alone.","To make the output, you have to...fill the red area within the black with Gray if it is a square; otherwise, leave it alone.","To make the output, you have to...fill the gray area within the green with Yellow if it is a square; otherwise, leave it alone.","To make the output, you have to...fill the pink area within the brown with Black if it is a square; otherwise, leave it alone.","To make the output, you have to...fill the blue area within the light blue with Green if it is a square; otherwise, leave it alone."
76,4938f0c2.json,"['diagonal_line', 'horizontal_line', 'pixel_color', 'diagonal_line', 'horizontal_line', 'pixel_color', 'diagonal_line', 'pixel_color', 'pixel_color', 'horizontal_line']","['diagonal_line(self.temp_state, [(6, 7), (1, 12)], 2)', 'horizontal_line(self.temp_state, [(2, 7), (2, 11)], 2)', 'pixel_color([(5, 9)], 2)', 'diagonal_line(self.temp_state, [(7, 7), (12, 12)], 2)', 'horizontal_line(self.temp_state, [(11, 7), (11, 11)], 2)', 'pixel_color([(8, 9)], 2)', 'diagonal_line(self.temp_state, [(7, 6), (11, 2)], 2)', 'pixel_color([(8, 4)], 2)', 'pixel_color([(11, 2)], 2)', 'horizontal_line(self.temp_state, [(11, 6), (11, 2)], 2)']",10,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",4938f0c2,111,"To make the output, you have to...use the same red pattern to create a symmetrical pattern surrounding the green cube.","To make the output, you have to...use the different black pattern to create a unsymmetrical pattern surrounding the green cube.","To make the output, you have to...use the same red pattern to create a symmetrical pattern surrounding the purple cube.","To make the output, you have to...use the same red pattern to create an asymmetrical pattern surrounding the green cube.","To make the output, you have to...use the different red pattern to create a symmetrical pattern surrounding the green pyramid."
77,496994bd.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(7, 0), (7, 5)], 5)', 'horizontal_line(self.temp_state, [(8, 0), (8, 5)], 5)', 'horizontal_line(self.temp_state, [(9, 0), (9, 5)], 3)', 'vertical_line(self.temp_state, [(9, 5), (6, 5)], 5)', 'vertical_line(self.temp_state, [(9, 0), (6, 0)], 5)', 'pixel_color([(9, 5)], 3)', 'pixel_color([(9, 0)], 3)', 'complete(self.temp_state)']",8,TRUE,"[[3, 3, 3, 3, 3, 3], [5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [5, 5, 5, 5, 5, 5], [5, 5, 5, 5, 5, 5], [3, 3, 3, 3, 3, 3]]",496994bd,112,"To make the output, you have to...copy the input grid and then mirror the colored lines on the other end of the grid.","To make the output, you have to...mirror the blank grid, then draw the colored lines on the other end.","To make the output, you have to...copy the green colored squares then rotate them at the other end.","To make the output, you have to...invert the input grid, then replicate the colored lines at the other end.","To make the output, you have to...copy the input grid, but place the colored lines at random places."
