problem,problem_id,dsl,full_dsl,step,correct,output
21,1e0a9b12.json,"['move_down', 'pixel_color', 'move_down', 'move_down', 'pixel_color', 'pixel_color', 'horizontal_line', 'pixel_color', 'complete']","['move_down(self.temp_state, object2)', 'pixel_color([(4, 1)], 2)', 'move_down(self.temp_state, object3)', 'move_down(self.temp_state, object3)', 'pixel_color([(4, 3)], 4)', 'pixel_color([(4, 4)], 3)', 'horizontal_line(self.temp_state, [(0, 0), (0, 4)], 0)', 'pixel_color([(0, 4)], 0)', 'complete(self.temp_state)']",9,TRUE,"[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [5, 0, 0, 0, 0], [5, 2, 0, 4, 0], [5, 2, 6, 4, 3]]"
24,1f642eb9.json,"['pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['pixel_color([(3, 2)], 9)', 'pixel_color([(5, 2)], 3)', 'pixel_color([(6, 2)], 4)', 'pixel_color([(3, 3)], 6)', 'pixel_color([(3, 5)], 2)', 'pixel_color([(4, 5)], 7)', 'pixel_color([(6, 4)], 6)', 'complete(self.temp_state)']",8,TRUE,"[[0, 0, 0, 6, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 9, 6, 8, 2, 0, 0, 0, 0], [0, 0, 8, 8, 8, 7, 0, 0, 0, 7], [3, 0, 3, 8, 8, 8, 0, 0, 0, 0], [4, 0, 4, 8, 6, 8, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0, 0, 0, 0]]"
25,1f876c06.json,"['diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'diagonal_line', 'complete']","['diagonal_line(self.temp_state, [(3, 6), (0, 9)], 9)', 'diagonal_line(self.temp_state, [(4, 0), (7, 3)], 6)', 'diagonal_line(self.temp_state, [(1, 0), (7, 6)], 7)', 'diagonal_line(self.temp_state, [(3, 3), (0, 6)], 3)', 'diagonal_line(self.temp_state, [(5, 9), (9, 5)], 4)', 'complete(self.temp_state)']",6,TRUE,"[[0, 0, 0, 0, 0, 0, 3, 0, 0, 9], [7, 0, 0, 0, 0, 3, 0, 0, 9, 0], [0, 7, 0, 0, 3, 0, 0, 9, 0, 0], [0, 0, 7, 3, 0, 0, 9, 0, 0, 0], [6, 0, 0, 7, 0, 0, 0, 0, 0, 0], [0, 6, 0, 0, 7, 0, 0, 0, 0, 4], [0, 0, 6, 0, 0, 7, 0, 0, 4, 0], [0, 0, 0, 6, 0, 0, 7, 4, 0, 0], [0, 0, 0, 0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 4, 0, 0, 0, 0]]"
26,2204b7a8.json,"['obj_color', 'obj_color', 'obj_color', 'obj_color', 'obj_color', 'obj_color', 'obj_color', 'obj_color', 'obj_color', 'complete']","['obj_color(self.temp_state, object2, 5)', 'obj_color(self.temp_state, object4, 4)', 'obj_color(self.temp_state, object5, 4)', 'obj_color(self.temp_state, object6, 5)', 'obj_color(self.temp_state, object7, 4)', 'obj_color(self.temp_state, object8, 5)', 'obj_color(self.temp_state, object9, 5)', 'obj_color(self.temp_state, object10, 5)', 'obj_color(self.temp_state, object11, 4)', 'complete(self.temp_state)']",10,TRUE,"[[5, 5, 0, 0, 0, 0, 0, 0, 0, 4], [5, 0, 0, 0, 0, 4, 0, 0, 4, 4], [5, 0, 0, 0, 0, 0, 0, 0, 0, 4], [5, 0, 0, 5, 0, 0, 0, 0, 0, 4], [5, 0, 0, 0, 0, 0, 4, 0, 0, 4], [5, 0, 0, 5, 0, 0, 0, 0, 0, 4], [5, 0, 0, 0, 0, 0, 0, 0, 0, 4], [5, 0, 0, 0, 5, 0, 0, 0, 0, 4], [5, 0, 5, 0, 0, 0, 4, 0, 0, 4], [5, 0, 0, 0, 0, 0, 0, 0, 0, 4]]"
27,22168020.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(1, 0), (1, 3)], 4)', 'horizontal_line(self.temp_state, [(2, 4), (2, 9)], 7)', 'horizontal_line(self.temp_state, [(3, 5), (3, 8)], 7)', 'horizontal_line(self.temp_state, [(6, 1), (6, 6)], 3)', 'horizontal_line(self.temp_state, [(7, 2), (7, 5)], 3)', 'complete(self.temp_state)']",6,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 4, 4, 4, 0, 0, 0, 0, 0, 0], [0, 4, 4, 0, 7, 7, 7, 7, 7, 7], [0, 4, 4, 0, 0, 7, 7, 7, 7, 0], [0, 0, 0, 0, 0, 0, 7, 7, 0, 0], [0, 0, 0, 0, 0, 0, 7, 7, 0, 0], [0, 3, 3, 3, 3, 3, 3, 0, 0, 0], [0, 0, 3, 3, 3, 3, 0, 0, 0, 0], [0, 0, 0, 3, 3, 0, 0, 0, 0, 0], [0, 0, 0, 3, 3, 0, 0, 0, 0, 0]]"
28,22233c11.json,"['horizontal_line', 'horizontal_line', 'pixel_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(1, 3), (1, 0)], 8)', 'horizontal_line(self.temp_state, [(0, 3), (0, 0)], 8)', 'pixel_color([(8, 9)], 8)', 'pixel_color([(9, 9)], 8)', 'pixel_color([(0, 0)], 8)', 'pixel_color([(1, 0)], 8)', 'complete(self.temp_state)']",7,TRUE,"[[8, 8, 8, 0, 0, 0, 0, 0, 0, 0], [8, 8, 8, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 3, 3, 3, 0], [0, 0, 0, 0, 0, 0, 3, 3, 3, 0], [0, 0, 0, 0, 0, 0, 3, 3, 3, 0], [0, 0, 0, 3, 3, 3, 0, 0, 0, 0], [0, 0, 0, 3, 3, 3, 0, 0, 0, 0], [0, 0, 0, 3, 3, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 8]]"
30,228f6490.json,"['obj_color', 'obj_color', 'horizontal_line', 'horizontal_line', 'pixel_color', 'complete']","['obj_color(self.temp_state, object6, 0)', 'obj_color(self.temp_state, object4, 0)', 'horizontal_line(self.temp_state, [(8, 3), (8, 7)], 4)', 'horizontal_line(self.temp_state, [(1, 2), (1, 6)], 7)', 'pixel_color([(2, 4)], 7)', 'complete(self.temp_state)']",6,TRUE,"[[0, 0, 5, 5, 5, 5, 5, 0, 0, 2], [2, 0, 5, 7, 7, 7, 5, 0, 0, 0], [0, 0, 5, 5, 7, 5, 5, 0, 0, 0], [0, 0, 5, 5, 5, 5, 5, 0, 0, 0], [0, 0, 5, 5, 5, 5, 5, 0, 0, 2], [0, 0, 0, 0, 0, 2, 0, 2, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 5, 5, 5, 5, 5, 5, 5], [0, 2, 0, 5, 4, 4, 4, 5, 5, 5], [2, 0, 0, 5, 5, 5, 5, 5, 5, 5]]"
31,22eb0ac0.json,"['horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(3, 0), (3, 9)], 3)', 'horizontal_line(self.temp_state, [(7, 0), (7, 9)], 6)', 'complete(self.temp_state)']",3,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 3, 3, 3, 3, 3, 3, 3, 3, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 9], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 6, 6, 6, 6, 6, 6, 6, 6, 6], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0, 0, 0, 0, 4]]"
33,253bf280.json,"['horizontal_line', 'horizontal_line', 'vertical_line', 'complete']","['horizontal_line(self.temp_state, [(1, 2), (1, 10)], 3)', 'horizontal_line(self.temp_state, [(5, 6), (5, 12)], 3)', 'vertical_line(self.temp_state, [(7, 1), (10, 1)], 3)', 'complete(self.temp_state)']",4,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 8, 3, 3, 3, 3, 3, 3, 3, 8, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 8, 3, 3, 3, 3, 3, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0], [0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
34,25d487eb.json,"['vertical_line', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(11, 4), (0, 4)], 8)', 'pixel_color([(0, 4)], 8)', 'complete(self.temp_state)']",3,TRUE,"[[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 0, 0, 4, 4, 4, 0, 0, 0, 0, 0], [0, 0, 4, 4, 4, 4, 4, 0, 0, 0, 0], [0, 4, 4, 4, 8, 4, 4, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
35,25d8a9c8.json,"['obj_color', 'pixel_color', 'pixel_color', 'pixel_color', 'complete']","['obj_color(self.temp_state, object1, 5)', 'pixel_color([(1, 0)], 0)', 'pixel_color([(1, 1)], 0)', 'pixel_color([(1, 2)], 0)', 'complete(self.temp_state)']",5,TRUE,"[[5, 5, 5], [0, 0, 0], [5, 5, 5]]"
36,25ff71a9.json,"['move_down', 'complete']","['move_down(self.temp_state, object1)', 'complete(self.temp_state)']",2,TRUE,"[[0, 0, 0], [2, 0, 0], [2, 0, 0]]"
40,29c11459.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(1, 5), (1, 0)], 4)', 'horizontal_line(self.temp_state, [(1, 10), (1, 5)], 8)', 'horizontal_line(self.temp_state, [(4, 5), (4, 0)], 6)', 'horizontal_line(self.temp_state, [(4, 10), (4, 5)], 9)', 'pixel_color([(1, 5)], 5)', 'pixel_color([(4, 5)], 5)', 'complete(self.temp_state)']",7,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [4, 4, 4, 4, 4, 5, 8, 8, 8, 8, 8], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [6, 6, 6, 6, 6, 5, 9, 9, 9, 9, 9]]"
43,2bee17df.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'vertical_line', 'complete']","['horizontal_line(self.temp_state, [(3, 0), (3, 13)], 3)', 'horizontal_line(self.temp_state, [(6, 0), (6, 13)], 3)', 'horizontal_line(self.temp_state, [(10, 0), (10, 13)], 3)', 'vertical_line(self.temp_state, [(0, 4), (13, 4)], 3)', 'vertical_line(self.temp_state, [(13, 10), (0, 10)], 3)', 'vertical_line(self.temp_state, [(0, 9), (13, 9)], 3)', 'complete(self.temp_state)']",7,TRUE,"[[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8], [8, 8, 8, 8, 3, 0, 8, 8, 8, 3, 3, 8, 2, 2], [8, 8, 8, 0, 3, 0, 0, 0, 0, 3, 3, 0, 0, 2], [8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2], [8, 8, 8, 0, 3, 0, 0, 0, 0, 3, 3, 0, 2, 2], [8, 8, 0, 0, 3, 0, 0, 0, 0, 3, 3, 2, 2, 2], [8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2], [8, 8, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 0, 2], [8, 8, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 0, 2], [8, 8, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 0, 2], [8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2], [8, 8, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 2, 2], [8, 8, 0, 2, 3, 2, 2, 0, 0, 3, 3, 2, 2, 2], [8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]"
